driver_id,rider_id,route_overlap,detour_km,time_overlap_min,pref_match,trust_score,pickup_distance_km,compatibility_score,label
USR_PIYUSH_DRIVER,USR_RIDER_01,,,,,,,,1
USR_D100000_DRIVER,USR_RIDER_100000,0.3105,0.317,0.0,1.0,3.767,1.066,0.5764,1
USR_D100001_DRIVER,USR_RIDER_100001,0.3426,0.92,31.8,1.0,3.588,1.034,0.6113,1
USR_D100002_DRIVER,USR_RIDER_100002,0.3799,3.213,40.5,0.0,4.231,1.918,0.5121,0
USR_D100003_DRIVER,USR_RIDER_100003,0.6888,2.522,7.0,0.0,4.679,0.481,0.5851,1
USR_D100004_DRIVER,USR_RIDER_100004,0.6681,4.631,21.3,0.0,4.309,2.177,0.4695,0
USR_D100005_DRIVER,USR_RIDER_100005,0.2583,1.67,15.5,1.0,3.47,1.376,0.6141,1
USR_D100006_DRIVER,USR_RIDER_100006,0.1586,2.754,0.0,0.0,4.264,1.695,0.2838,0
USR_D100007_DRIVER,USR_RIDER_100007,0.1105,5.226,10.7,1.0,4.395,0.222,0.4813,0
USR_D100008_DRIVER,USR_RIDER_100008,0.2406,6.481,32.2,1.0,3.905,1.117,0.5242,0
USR_D100009_DRIVER,USR_RIDER_100009,0.6363,2.599,51.3,0.0,4.828,2.26,0.6013,1
USR_D100010_DRIVER,USR_RIDER_100010,0.3796,4.112,12.2,0.0,4.674,0.401,0.3276,0
USR_D100011_DRIVER,USR_RIDER_100011,0.7719,6.058,0.0,0.0,4.602,1.298,0.4383,0
USR_D100012_DRIVER,USR_RIDER_100012,0.3695,0.844,38.2,1.0,4.469,1.388,0.6481,1
USR_D100013_DRIVER,USR_RIDER_100013,0.4474,3.976,20.3,1.0,4.543,1.075,0.5656,1
USR_D100014_DRIVER,USR_RIDER_100014,0.9064,2.791,7.3,1.0,4.179,1.319,0.674,1
USR_D100015_DRIVER,USR_RIDER_100015,0.54,3.147,21.2,0.0,4.211,2.15,0.4463,0
USR_D100016_DRIVER,USR_RIDER_100016,0.4559,4.431,41.8,1.0,4.273,1.27,0.7064,1
USR_D100017_DRIVER,USR_RIDER_100017,0.4055,3.991,36.4,1.0,4.426,2.944,0.6385,1
USR_D100018_DRIVER,USR_RIDER_100018,0.2717,1.746,11.4,1.0,4.227,2.075,0.5368,0
USR_D100019_DRIVER,USR_RIDER_100019,0.1296,0.05,16.0,0.0,4.038,1.126,0.3981,0
USR_D100020_DRIVER,USR_RIDER_100020,0.5694,0.95,27.1,0.0,3.73,1.826,0.4877,0
USR_D100021_DRIVER,USR_RIDER_100021,0.7528,3.735,27.1,1.0,4.17,0.469,0.7245,1
USR_D100022_DRIVER,USR_RIDER_100022,0.2539,1.984,28.7,1.0,4.235,2.224,0.5815,1
USR_D100023_DRIVER,USR_RIDER_100023,0.1812,1.861,37.1,1.0,4.569,0.418,0.5962,1
USR_D100024_DRIVER,USR_RIDER_100024,0.3477,1.173,40.3,1.0,4.02,1.189,0.6374,1
USR_D100025_DRIVER,USR_RIDER_100025,0.2973,3.313,14.9,1.0,3.392,0.036,0.5004,0
USR_D100026_DRIVER,USR_RIDER_100026,0.5562,0.958,58.3,1.0,4.825,2.276,0.6831,1
USR_D100027_DRIVER,USR_RIDER_100027,0.2612,4.861,32.0,1.0,4.179,0.798,0.5161,0
USR_D100028_DRIVER,USR_RIDER_100028,0.8435,3.991,25.4,1.0,4.005,0.658,0.7335,1
USR_D100029_DRIVER,USR_RIDER_100029,0.8316,2.913,17.7,0.0,4.936,3.006,0.566,1
USR_D100030_DRIVER,USR_RIDER_100030,0.6563,5.347,8.3,1.0,4.183,2.55,0.5859,1
USR_D100031_DRIVER,USR_RIDER_100031,0.532,3.0,20.0,0.0,4.55,4.215,0.4679,0
USR_D100032_DRIVER,USR_RIDER_100032,0.8875,0.651,40.4,1.0,3.639,1.593,0.827,1
USR_D100033_DRIVER,USR_RIDER_100033,0.5355,4.265,14.5,0.0,4.38,2.507,0.4431,0
USR_D100034_DRIVER,USR_RIDER_100034,0.5453,2.244,7.3,0.0,4.183,0.385,0.4636,0
USR_D100035_DRIVER,USR_RIDER_100035,0.4521,3.786,30.1,0.0,3.972,0.663,0.5353,0
USR_D100036_DRIVER,USR_RIDER_100036,0.3439,0.433,22.5,0.0,4.475,0.648,0.4633,0
USR_D100037_DRIVER,USR_RIDER_100037,0.0971,1.91,7.7,1.0,4.886,1.968,0.4755,0
USR_D100038_DRIVER,USR_RIDER_100038,0.7384,1.019,11.3,0.0,4.487,2.313,0.5525,1
USR_D100039_DRIVER,USR_RIDER_100039,0.3145,4.413,32.7,0.0,4.535,2.207,0.3281,0
USR_D100040_DRIVER,USR_RIDER_100040,0.4699,3.424,13.8,1.0,3.383,0.927,0.5668,1
USR_D100041_DRIVER,USR_RIDER_100041,0.8355,4.367,9.0,1.0,4.552,2.212,0.6693,1
USR_D100042_DRIVER,USR_RIDER_100042,0.6627,3.946,35.5,0.0,4.127,0.433,0.4498,0
USR_D100043_DRIVER,USR_RIDER_100043,0.5534,1.561,36.0,1.0,3.737,1.236,0.7077,1
USR_D100044_DRIVER,USR_RIDER_100044,0.5502,2.592,35.5,1.0,4.372,0.279,0.6897,1
USR_D100045_DRIVER,USR_RIDER_100045,0.4668,1.748,31.2,0.0,3.758,2.47,0.4939,0
USR_D100046_DRIVER,USR_RIDER_100046,0.7773,0.064,28.4,1.0,4.381,0.329,0.8418,1
USR_D100047_DRIVER,USR_RIDER_100047,0.5024,2.417,10.5,0.0,4.268,2.775,0.5441,0
USR_D100048_DRIVER,USR_RIDER_100048,0.3158,3.455,20.9,1.0,4.584,2.677,0.4948,0
USR_D100049_DRIVER,USR_RIDER_100049,0.2436,3.903,30.5,1.0,3.633,0.599,0.507,0
USR_D100050_DRIVER,USR_RIDER_100050,0.8528,2.107,32.2,1.0,4.185,1.654,0.8514,1
USR_D100051_DRIVER,USR_RIDER_100051,0.6205,0.358,5.1,0.0,3.657,1.015,0.4767,0
USR_D100052_DRIVER,USR_RIDER_100052,0.4531,1.916,17.1,0.0,4.431,0.635,0.4667,0
USR_D100053_DRIVER,USR_RIDER_100053,0.4739,0.732,32.3,1.0,3.774,1.612,0.6652,1
USR_D100054_DRIVER,USR_RIDER_100054,0.111,2.972,0.0,0.0,4.335,1.055,0.3684,0
USR_D100055_DRIVER,USR_RIDER_100055,0.4864,4.941,20.1,1.0,3.747,0.434,0.5813,1
USR_D100056_DRIVER,USR_RIDER_100056,0.4809,1.091,0.0,0.0,4.246,1.135,0.4313,0
USR_D100057_DRIVER,USR_RIDER_100057,0.7099,3.368,40.0,1.0,4.355,1.18,0.8225,1
USR_D100058_DRIVER,USR_RIDER_100058,0.6455,4.591,27.1,1.0,4.266,2.761,0.6116,1
USR_D100059_DRIVER,USR_RIDER_100059,0.4193,0.082,41.9,1.0,4.501,1.718,0.5442,0
USR_D100060_DRIVER,USR_RIDER_100060,0.3175,1.695,26.6,1.0,4.546,1.404,0.5415,0
USR_D100061_DRIVER,USR_RIDER_100061,0.2189,1.704,22.8,0.0,3.81,0.406,0.4545,0
USR_D100062_DRIVER,USR_RIDER_100062,0.7355,6.599,27.1,0.0,4.351,1.089,0.4621,0
